Original Name,Test Case Name,Test Type,Label
"TSMRBANK, OOO","OR TSMRBANK, OOO OF OF",Fuzzy Match,Match
PUBLIC JOINT STOCK COMPANY ALROSA,A PUBLIC JOINT STOCK COMPANY ALROSA OF OR,Fuzzy Match,Match
IRAN MOBIN ELECTRONIC DEVELOPMENT COMPANY,A IRAN MOBIN ELECTRONIC DEVELOPMENT COMPANY AN AN,Fuzzy Match,Match
RAH NEGAR PARS MIDDLE EAST COMPANY,RAH NEGAR PARS MIDDLE EAST COMPANY A,Fuzzy Match,Match
AGROPECUARIA PALMA DEL RIO S.A.,AGROPECUARIA PALMA DEL RIO S.A. AN,Fuzzy Match,Match
INTERNATIONAL CENTER FOR QUANTUM OPTICS AND QUANTUM TECHNOLOGIES LIMITED LIABILITY COMPANY,INTERNATIONAL CENTER FOR QUANTUM OPTICS AND QUANTUM TECHNOLOGIES LIMITED LIABILITY COMPANY AN,Fuzzy Match,Match
BRAVERY MARITIME CORPORATION,BRAVERY MARITIME CORPORATION AN,Fuzzy Match,Match
AKTSIONERNOE OBSHCHESTVO VERKHNEUFALEISKII ZAVOD URALELEMENT,AKTSIONERNOE OBSHCHESTVO VERKHNEUFALEISKII ZAVOD URALELEMENT OF,Fuzzy Match,Match
ASKATASUNA,ASKATASUNA AN,Fuzzy Match,Match
DAMASCUS CHAM FOR MANAGEMENT LLC,DAMASCUS CHAM FOR MANAGEMENT LLC OF,Fuzzy Match,Match
ORIENT CLUB,ORIENT CLUB OF,Fuzzy Match,Match
"BELNEFTEKHIM USA, INC.","BELNEFTEKHIM USA, INC. AN",Fuzzy Match,Match
TECHNOTAR ENGINEERING COMPANY,TECHNOTAR ENGINEERING COMPANY AN,Fuzzy Match,Match
VIRGO MARINE,VIRGO MARINE OR OR,Fuzzy Match,Match
AL FAY COMPANY,AL FAY COMPANY AN AN,Fuzzy Match,Match
CHONMYONG SHIPPING CO,CHONMYONG SHIPPING CO OR OR,Fuzzy Match,Match
EMC SUD LIMITED,EMC SUD LIMITED A A,Fuzzy Match,Match
JOSE PIELES,JOSE PIELES OR OR,Fuzzy Match,Match
LIMITED LIABILITY COMPANY MARKET FUND ADMINISTRATION,LIMITED LIABILITY COMPANY MARKET FUND ADMINISTRATION A A,Fuzzy Match,Match
MAHROUS GROUP,MAHROUS GROUP OR OR,Fuzzy Match,Match
ALALAMIYAH EXPRESS COMPANY FOR EXCHANGE AND REMITTANCE,ALALAMIYAH EXPRESS COMPANY FOR EXCHANGE AND REMITTANCE AN AN,Fuzzy Match,Match
"BOUNGALOWS VILLA AZUL, S.A. DE C.V.","BOUNGALOWS VILLA AZUL, S.A. DE C.V. OR OR",Fuzzy Match,Match
BANDAR IMAM BESPARAN PETROCHEMICAL COMPANY,BANDAR IMAM BESPARAN PETROCHEMICAL COMPANY OF OF,Fuzzy Match,Match
"CANCRI GEMS & JEWELLERY CO., LTD.","CANCRI GEMS & JEWELLERY CO., LTD. AN OR",Fuzzy Match,Match
BENEVOLENCE INTERNATIONAL FUND,BENEVOLENCE INTERNATIONAL FUND OR OF,Fuzzy Match,Match
OOO OBORONNYE INITSIATIVY,OOO OBORONNYE INITSIATIVY AN OR,Fuzzy Match,Match
TURIRA COMPANY,TURIRA COMPANY OR AN,Fuzzy Match,Match
TRANSSERVICE LLC,TRANSSERVICE LLC A AN,Fuzzy Match,Match
"HACIENDA CIEN ANOS DE TIJUANA, S. DE R.L. DE C.V.","HACIENDA CIEN ANOS DE TIJUANA, S. DE R.L. DE C.V. AN OR",Fuzzy Match,Match
LACNO S.R.O.,LACNO S.R.O. OR AN,Fuzzy Match,Match
PRIVATE JOINT-STOCK COMPANY MAKO HOLDING,PRIVATE JOINT-STOCK COMPANY MAKO HOLDING AN OF,Fuzzy Match,Match
INVERSIONES C.P.C.L. Y CIA. S. EN C.S.,INVERSIONES C.P.C.L. Y CIA. S. EN C.S. OF OF,Fuzzy Match,Match
HAMAS,HAMAS AN A,Fuzzy Match,Match
LOYALIST VOLUNTEER FORCE,LOYALIST VOLUNTEER FORCE CFO,Fuzzy Match,Match
VAKILABAD PRISON,VAKILABAD PRISON Assistant,Fuzzy Match,Match
STATE ENTERPRISE FEODOSIA SEA TRADING PORT,STATE ENTERPRISE FEODOSIA SEA TRADING PORT Assistant,Fuzzy Match,Match
"T-RUBBER CO., LTD","T-RUBBER CO., LTD Vice President",Fuzzy Match,Match
COMPANIA DE FOMENTO MERCANTIL S.A.,COMPANIA DE FOMENTO MERCANTIL S.A. COO,Fuzzy Match,Match
MEZA FLORES DRUG TRAFFICKING ORGANIZATION,MEZA FLORES DRUG TRAFFICKING ORGANIZATION CTO,Fuzzy Match,Match
TRANSSERVICE LLC,TRANSSERVICE LLC Executive Vice Presiden,Fuzzy Match,Match
BELVNESHPROMSERVICE,BELVNESHPROMSERVICE PTE,Fuzzy Match,Match
AL FAY COMPANY,AL FAY COMPANY COO,Fuzzy Match,Match
HOMS REFINERY COMPANY,HOMS REFINERY COMPANY Assistant,Fuzzy Match,Match
DVE STOLITSY OOO,CFO DVE STOLITSY OOO,Fuzzy Match,Match
BELSHINA OAO,CTO BELSHINA OAO,Fuzzy Match,Match
SOUTH SHIPPING LINES - IRAN LINE,COO SOUTH SHIPPING LINES - IRAN LINE,Fuzzy Match,Match
JSC SVETLANA POLUPROVODNIKI,Executive Vice Presiden JSC SVETLANA POLUPROVODNIKI,Fuzzy Match,Match
IRAN TIRE MANUFACTURING COMPANY,COO IRAN TIRE MANUFACTURING COMPANY,Fuzzy Match,Match
KODO-KAI,Assistant KODO-KAI,Fuzzy Match,Match
BU ALI GROUP,COO BU ALI GROUP,Fuzzy Match,Match
DJECO GROUP HOLDING LTD,Senior Vice President DJECO GROUP HOLDING LTD,Fuzzy Match,Match
MINERA RIO PRESIDIO S.A. DE C.V.,President MINERA RIO PRESIDIO S.A. DE C.V.,Fuzzy Match,Match
GARBIN NAVIGATION LTD,Senior Vice President GARBIN NAVIGATION LTD,Fuzzy Match,Match
"AUDIO ALARMAS, S.A. DE C.V.","CFO AUDIO ALARMAS, S.A. DE C.V. CFO",Fuzzy Match,Match
KINGS ROMANS INTERNATIONAL INVESTMENT CO. LIMITED,Executive Vice Presiden KINGS ROMANS INTERNATIONAL INVESTMENT CO. LIMITED Executive Vice Presiden,Fuzzy Match,Match
DIRECTORATE OF PROCUREMENT OF THE COMMANDER-IN-CHIEF OF DEFENSE SERVICES ARMY,PTE DIRECTORATE OF PROCUREMENT OF THE COMMANDER-IN-CHIEF OF DEFENSE SERVICES ARMY PTE,Fuzzy Match,Match
OAO 'DOLGOPRUDNY RESEARCH PRODUCTION ENTERPRISE',Assistant OAO 'DOLGOPRUDNY RESEARCH PRODUCTION ENTERPRISE' Assistant,Fuzzy Match,Match
JAMARO CONSTRUCTORES S.A. DE C.V.,CTO JAMARO CONSTRUCTORES S.A. DE C.V. CTO,Fuzzy Match,Match
ANSAR BANK,CFO ANSAR BANK CFO,Fuzzy Match,Match
VELINVESTMENT D.O.O.,CFO VELINVESTMENT D.O.O. CFO,Fuzzy Match,Match
ADJ TRADING LIMITED,COO ADJ TRADING LIMITED COO,Fuzzy Match,Match
PERU TOTAL MARKET E.I.R.L.,CFO PERU TOTAL MARKET E.I.R.L. CFO,Fuzzy Match,Match
MIRAGE FOR WASTE MANAGEMENT AND ENVIRONMENTAL SERVICES SARL,COO MIRAGE FOR WASTE MANAGEMENT AND ENVIRONMENTAL SERVICES SARL COO,Fuzzy Match,Match
ELECTRONICS KATRANGI TRADING,Vice President ELECTRONICS KATRANGI TRADING Vice President,Fuzzy Match,Match
TARABAR-GOROUS TRUST TRANSPORTATION,President TARABAR-GOROUS TRUST TRANSPORTATION President,Fuzzy Match,Match
REPUTABLE TRADING SOURCE LLC,COO REPUTABLE TRADING SOURCE LLC COO,Fuzzy Match,Match
SAKAN GENERAL TRADING,PTE SAKAN GENERAL TRADING PTE,Fuzzy Match,Match
SYRIAN ARAB REPUBLICAN GUARD,Assistant SYRIAN ARAB REPUBLICAN GUARD Assistant,Fuzzy Match,Match
PHYONGCHON SHIPPING & MARINE,Vice President PHYONGCHON SHIPPING & MARINE Vice President,Fuzzy Match,Match
JOINT STOCK COMPANY SANATORIUM DYULBER,Vice President JOINT STOCK COMPANY SANATORIUM DYULBER Vice President,Fuzzy Match,Match
NAVAL DEFENCE MISSILE INDUSTRY GROUP,President NAVAL DEFENCE MISSILE INDUSTRY GROUP President,Fuzzy Match,Match
RAPART SERVISEZ,CMO RAPART SERVISEZ CMO,Fuzzy Match,Match
LLC NM-TEKH,CFO LLC NM-TEKH CFO,Fuzzy Match,Match
INMOBILIARIA PASADENA LTDA.,Australia INMOBILIARIA PASADENA LTDA.,Fuzzy Match,Match
"RESIDENCIAL CANAL VIEW, S.A.","Poland RESIDENCIAL CANAL VIEW, S.A.",Fuzzy Match,Match
MATIN SANAT NIK ANDISHAN,Spain MATIN SANAT NIK ANDISHAN,Fuzzy Match,Match
OOO YUNIDZHET,Sweden OOO YUNIDZHET,Fuzzy Match,Match
JOINT STOCK COMPANY SCIENTIFIC RESEARCH INSTITUTE GIRICOND,Poland JOINT STOCK COMPANY SCIENTIFIC RESEARCH INSTITUTE GIRICOND,Fuzzy Match,Match
VIHROGONIKA AD,Mexico VIHROGONIKA AD,Fuzzy Match,Match
COMERCIAL PLANETA,Indonesia COMERCIAL PLANETA,Fuzzy Match,Match
AL ZAROONI EXCHANGE,Austria AL ZAROONI EXCHANGE,Fuzzy Match,Match
AL-NUSRAH FRONT,Japan AL-NUSRAH FRONT,Fuzzy Match,Match
JOINT STOCK COMPANY PRODUCTION ASSOCIATION SEVER,Poland JOINT STOCK COMPANY PRODUCTION ASSOCIATION SEVER,Fuzzy Match,Match
GLORY ADVANCED LIMITED,France GLORY ADVANCED LIMITED France,Fuzzy Match,Match
NPC INTERNATIONAL,Argentina NPC INTERNATIONAL Argentina,Fuzzy Match,Match
GAVIOTAS LTDA.,Brazil GAVIOTAS LTDA. Brazil,Fuzzy Match,Match
ARCHI CENTRE I.C.E. LIMITED,Japan ARCHI CENTRE I.C.E. LIMITED Japan,Fuzzy Match,Match
PARTHIA CARGO LLC,Belgium PARTHIA CARGO LLC Belgium,Fuzzy Match,Match
AL MASHREQ INVESTMENT FUND,Poland AL MASHREQ INVESTMENT FUND Poland,Fuzzy Match,Match
"RK BRIZ, OOO","South Korea RK BRIZ, OOO South Korea",Fuzzy Match,Match
"PAPA PETROLEUM CO., LTD.","Mexico PAPA PETROLEUM CO., LTD. Mexico",Fuzzy Match,Match
ECONOMY TODAY LLC,Brazil ECONOMY TODAY LLC Brazil,Fuzzy Match,Match
PARS MCS,Mexico PARS MCS Mexico,Fuzzy Match,Match
"DZINIKASHVILI, Dmitriy Vladimirovich","Dane Dane DZINIKASHVILI, Dmitriy Vladimirovich",Fuzzy Match,Match
"NOWBAHAR, Abdullah","Beth Beth NOWBAHAR, Abdullah",Fuzzy Match,Match
"KOGAN, Alexander Borisovich","Stephanie Stephanie KOGAN, Alexander Borisovich",Fuzzy Match,Match
"PHUANGPHET, Suwit","Elizabeth Elizabeth PHUANGPHET, Suwit",Fuzzy Match,Match
"VINOKUROVA, Yekaterina Sergeyevna","Virginia Virginia VINOKUROVA, Yekaterina Sergeyevna",Fuzzy Match,Match
"KALASHNIKOV, Leonid Ivanovich","Chrystal Chrystal KALASHNIKOV, Leonid Ivanovich",Fuzzy Match,Match
"IMANIRAD, Mohammad Javad","John John IMANIRAD, Mohammad Javad",Fuzzy Match,Match
"BELTRAN SANCHEZ, Hector Manuel","Herschel Herschel BELTRAN SANCHEZ, Hector Manuel",Fuzzy Match,Match
"ADEN, Mohamoud Abdi","Derrick Derrick ADEN, Mohamoud Abdi",Fuzzy Match,Match
"GASILOV, Andrei Valeryevich","Michelle Michelle GASILOV, Andrei Valeryevich",Fuzzy Match,Match
"OGUNGBUYI, Oluwole A.","George George OGUNGBUYI, Oluwole A.",Fuzzy Match,Match
"JELAVIC, Ante","Joe Joe JELAVIC, Ante",Fuzzy Match,Match
"KLYUEV, Dmitry Vladislavovich","Sofia Sofia KLYUEV, Dmitry Vladislavovich",Fuzzy Match,Match
"AGUILAR GARCIA, Marvin Ramiro","Cleo Cleo AGUILAR GARCIA, Marvin Ramiro",Fuzzy Match,Match
"HLAING, Khin","Steven Steven HLAING, Khin",Fuzzy Match,Match
"PERMINOV, Sergey Nikolayevich","Isabel Isabel PERMINOV, Sergey Nikolayevich",Fuzzy Match,Match
"FADLALLAH, Shaykh Muhammad Husayn","Andrea Andrea FADLALLAH, Shaykh Muhammad Husayn",Fuzzy Match,Match
"AL-GHAIB, Seyyed Heshmatollah Hayat","Harlan Harlan AL-GHAIB, Seyyed Heshmatollah Hayat",Fuzzy Match,Match
"BADI, Salah","Micheal Micheal BADI, Salah",Fuzzy Match,Match
"AL-MANSOORI, Ali Hussein Falih","Eusebia Eusebia AL-MANSOORI, Ali Hussein Falih",Fuzzy Match,Match
GENERAL DIRECTORATE OF MILITARY COUNTERINTELLIGENCE,Frazier Frazier Frazier GENERAL DIRECTORATE OF MILITARY COUNTERINTELLIGENCE,Fuzzy Match,Match
MAMOUN DARKAZANLI IMPORT-EXPORT COMPANY,Johnson Johnson Johnson MAMOUN DARKAZANLI IMPORT-EXPORT COMPANY,Fuzzy Match,Match
JOINT STOCK COMPANY SMOLENSK AIRCRAFT PLANT,Windmeyer Windmeyer Windmeyer JOINT STOCK COMPANY SMOLENSK AIRCRAFT PLANT,Fuzzy Match,Match
AL-HARAMAIN : AFGHANISTAN BRANCH,Robinson Robinson Robinson AL-HARAMAIN : AFGHANISTAN BRANCH,Fuzzy Match,Match
UNION ABARROTERO DE JALISCO S.C. DE R.L. DE C.V.,Daniel Daniel Daniel UNION ABARROTERO DE JALISCO S.C. DE R.L. DE C.V.,Fuzzy Match,Match
"LA FIRMA MIRANDA, S.A. DE C.V.","Sumner Sumner Sumner LA FIRMA MIRANDA, S.A. DE C.V.",Fuzzy Match,Match
GENERAL DIRECTORATE OF SYRIAN PORTS,Cook Cook Cook GENERAL DIRECTORATE OF SYRIAN PORTS,Fuzzy Match,Match
TADBIR BROKERAGE COMPANY,Henry Henry Henry TADBIR BROKERAGE COMPANY,Fuzzy Match,Match
"DALIAN SUN MOON STAR INTERNATIONAL LOGISTICS TRADING CO., LTD","Walk Walk Walk DALIAN SUN MOON STAR INTERNATIONAL LOGISTICS TRADING CO., LTD",Fuzzy Match,Match
KOREA UNGUM CORPORATION,Miller Miller Miller KOREA UNGUM CORPORATION,Fuzzy Match,Match
JAMA'AT UL DAWA AL-QU'RAN,Maria JAMA'AT UL DAWA AL-QU'RAN,Fuzzy Match,Match
UNION OF GOOD,Sandra UNION OF GOOD,Fuzzy Match,Match
GOLDPHARMA DRUG TRAFFICKING & MONEY LAUNDERING ORGANIZATION,Robert GOLDPHARMA DRUG TRAFFICKING & MONEY LAUNDERING ORGANIZATION,Fuzzy Match,Match
SIGURO EOOD,Walter SIGURO EOOD,Fuzzy Match,Match
JOINT STOCK COMPANY CONCERN GRANIT-ELECTRON,Debra JOINT STOCK COMPANY CONCERN GRANIT-ELECTRON,Fuzzy Match,Match
ISLAMIC REVOLUTIONARY GUARD CORPS ELECTRONIC WARFARE AND CYBER DEFENSE ORGANIZATION,Michael ISLAMIC REVOLUTIONARY GUARD CORPS ELECTRONIC WARFARE AND CYBER DEFENSE ORGANIZATION,Fuzzy Match,Match
"GRUPO CIMA PANAMA, S.A.","John GRUPO CIMA PANAMA, S.A.",Fuzzy Match,Match
PALM SERVICE LIMITED,John PALM SERVICE LIMITED,Fuzzy Match,Match
"LA FIRMA MIRANDA, S.A. DE C.V.","Nicole LA FIRMA MIRANDA, S.A. DE C.V.",Fuzzy Match,Match
MOBIN INTERNATIONAL LIMITED,Johnnie MOBIN INTERNATIONAL LIMITED,Fuzzy Match,Match
NORD PROJECT LLC TRANSPORT COMPANY,Kelly Kelly NORD PROJECT LLC TRANSPORT COMPANY,Fuzzy Match,Match
OPUS ENERGY TRADING LLC,Walter Walter OPUS ENERGY TRADING LLC,Fuzzy Match,Match
CECEP EDITORES S.A.,Darrell Darrell CECEP EDITORES S.A.,Fuzzy Match,Match
LLC RUSCHEMTRADE,Frank Frank LLC RUSCHEMTRADE,Fuzzy Match,Match
BEIRUT TRADE SAL,James James BEIRUT TRADE SAL,Fuzzy Match,Match
AQUANIKA,Debra Debra AQUANIKA,Fuzzy Match,Match
EDICIONES CUBANAS,Terry Terry EDICIONES CUBANAS,Fuzzy Match,Match
LITTLE CONNEMARA 1 FARM,Roger Roger LITTLE CONNEMARA 1 FARM,Fuzzy Match,Match
ALUMIX,Danna Danna ALUMIX,Fuzzy Match,Match
FARADARYAY-E NIK-E GHESHM INVESTMENT,Lori Lori FARADARYAY-E NIK-E GHESHM INVESTMENT,Fuzzy Match,Match
ESTABLO PUERTO RICO S.A. DE C.V.,Winnie Winnie ESTABLO PUERTO RICO S.A. DE C.V.,Fuzzy Match,Match
SOUTH SHIPPING LINES - IRAN LINE,Michael Michael SOUTH SHIPPING LINES - IRAN LINE,Fuzzy Match,Match
YOUCHEM GENERAL TRADING FZE,Michelle Michelle YOUCHEM GENERAL TRADING FZE,Fuzzy Match,Match
LA FRONTERA UNION GALVEZ Y CIA S EN C,Myrle Myrle LA FRONTERA UNION GALVEZ Y CIA S EN C,Fuzzy Match,Match
SAHLOUL MONEY EXCHANGE COMPANY,Linda Linda SAHLOUL MONEY EXCHANGE COMPANY,Fuzzy Match,Match
KHORASAN STEEL COMPANY,William William KHORASAN STEEL COMPANY,Fuzzy Match,Match
FEDERAL SERVICE FOR MILITARY-TECHNICAL COOPERATION,John John FEDERAL SERVICE FOR MILITARY-TECHNICAL COOPERATION,Fuzzy Match,Match
AGROPECUARIA MIRALINDO S.A.,Nancy Nancy AGROPECUARIA MIRALINDO S.A.,Fuzzy Match,Match
ALIMENTOS CARNICOS DE TRADICION ESPANOLA LTDA.,Randy Randy ALIMENTOS CARNICOS DE TRADICION ESPANOLA LTDA.,Fuzzy Match,Match
MULTIMAT IC VE DIS TICARET PAZARLAMA LIMITED SIRKETI,Paulette Paulette MULTIMAT IC VE DIS TICARET PAZARLAMA LIMITED SIRKETI,Fuzzy Match,Match
"MUSTAFA, Ibrahim","Gerth Gerth Gerth MUSTAFA, Ibrahim",Fuzzy Match,Match
"GUSAKOVSKY, Alexander Vladislavovich","Barnes Barnes Barnes GUSAKOVSKY, Alexander Vladislavovich",Fuzzy Match,Match
"MUN, Kyong Hwan","Hachting Hachting Hachting MUN, Kyong Hwan",Fuzzy Match,Match
"MOSTAFANEJAD, Vali","Mccann Mccann Mccann MOSTAFANEJAD, Vali",Fuzzy Match,Match
"HEATH, Noel Timothy","Bettendorf Bettendorf Bettendorf HEATH, Noel Timothy",Fuzzy Match,Match
"KAZAKOVA, Olga Mikhailovna","Reynolds Reynolds Reynolds KAZAKOVA, Olga Mikhailovna",Fuzzy Match,Match
"GORYACHEVA, Ksenia Alexandrovna","Shingler Shingler Shingler GORYACHEVA, Ksenia Alexandrovna",Fuzzy Match,Match
"TORRES MARTINEZ, Camilo","Gehling Gehling Gehling TORRES MARTINEZ, Camilo",Fuzzy Match,Match
"HASAN YUSUF, Ahmad","Olsen Olsen Olsen HASAN YUSUF, Ahmad",Fuzzy Match,Match
"AZAM, Amir","Lemaster Lemaster Lemaster AZAM, Amir",Fuzzy Match,Match
"'ALAMAH, Jihad Salim","Vallejo Vallejo Vallejo 'ALAMAH, Jihad Salim",Fuzzy Match,Match
"BASEVIC, Dragan","Moffett Moffett Moffett BASEVIC, Dragan",Fuzzy Match,Match
"HASHEMI, Seyed Mohammad","Darnell Darnell Darnell HASHEMI, Seyed Mohammad",Fuzzy Match,Match
"SHUVALOV, Igor Ivanovich","Sokoloski Sokoloski Sokoloski SHUVALOV, Igor Ivanovich",Fuzzy Match,Match
"AGUIRRE GALINDO, Manuel","Huckaby Huckaby Huckaby AGUIRRE GALINDO, Manuel",Fuzzy Match,Match
"PRIBYSHIN, Taras Kirillovich","Cartwright Cartwright Cartwright PRIBYSHIN, Taras Kirillovich",Fuzzy Match,Match
"FLORES HALA, Florindo Eleuterio","Nelson Nelson Nelson FLORES HALA, Florindo Eleuterio",Fuzzy Match,Match
"MARTINEZ CANTABRANA, Cesar","Ramon Ramon Ramon MARTINEZ CANTABRANA, Cesar",Fuzzy Match,Match
"MARIN ARANGO, Luciano","Brock Brock Brock MARIN ARANGO, Luciano",Fuzzy Match,Match
"KASADHA, Amisi","Hills Hills Hills KASADHA, Amisi",Fuzzy Match,Match
"HERNANDEZ DALA, Ivan Rafael","Nance Nance HERNANDEZ DALA, Ivan Rafael",Fuzzy Match,Match
"KIM, Pyong Chan","Vazquez Vazquez KIM, Pyong Chan",Fuzzy Match,Match
"RYBALSKIY, Yakov","Brown Brown RYBALSKIY, Yakov",Fuzzy Match,Match
"MANDEL, Andrei Sergeevich","Vogt Vogt MANDEL, Andrei Sergeevich",Fuzzy Match,Match
"NEMARIAM, Abraha Kassa","Rains Rains NEMARIAM, Abraha Kassa",Fuzzy Match,Match
"SHEIKH, Muhammad Naeem","Mcgowan Mcgowan SHEIKH, Muhammad Naeem",Fuzzy Match,Match
"ORDOUBADI, Nader Talebzadeh","Dietrick Dietrick ORDOUBADI, Nader Talebzadeh",Fuzzy Match,Match
"MORDASHOV, Nikita Alekseyevich","Jones Jones MORDASHOV, Nikita Alekseyevich",Fuzzy Match,Match
"MOSTAFAEI, Saeed","Tainter Tainter MOSTAFAEI, Saeed",Fuzzy Match,Match
"SANDOVAL LOPEZ, Pablo Roberto","Molina Molina SANDOVAL LOPEZ, Pablo Roberto",Fuzzy Match,Match
"FELIX BELTRAN, Victor Manuel","Burnett Sather FELIX BELTRAN, Victor Manuel",Fuzzy Match,Match
"FLOREZ SEPULVEDA, Marco Tulio","Myers Jones FLOREZ SEPULVEDA, Marco Tulio",Fuzzy Match,Match
"MORDASHOVA, Marina Aleksandrovna","Jenkins Fike MORDASHOVA, Marina Aleksandrovna",Fuzzy Match,Match
"MORENETS, Aleksei Sergeyevich","Castro Stumpf MORENETS, Aleksei Sergeyevich",Fuzzy Match,Match
"TARABAIN CHAMAS, Mohamad","Singleton Talley TARABAIN CHAMAS, Mohamad",Fuzzy Match,Match
"TSYB, Sergey Anatolyevich","Leonard Shippey TSYB, Sergey Anatolyevich",Fuzzy Match,Match
"CORONEL VILLAREAL, Ignacio","Vaca Nichols CORONEL VILLAREAL, Ignacio",Fuzzy Match,Match
"REHMAN, Abdur","Bogdon Brennan REHMAN, Abdur",Fuzzy Match,Match
"ABBATAY, Muhammad","Buck Bowles ABBATAY, Muhammad",Fuzzy Match,Match
"AL-NAQIB, Zuhair Talib abd-al-Sattar","Thompson Dalton AL-NAQIB, Zuhair Talib abd-al-Sattar",Fuzzy Match,Match
TARIQ GIDAR GROUP,Hattie Hattie Hattie TARIQ GIDAR GROUP,Fuzzy Match,Match
DESARROLLOS AGROINDUSTRIALES S.A.,Ann Ann Ann DESARROLLOS AGROINDUSTRIALES S.A.,Fuzzy Match,Match
FAN PARDAZAN,Clara Clara Clara FAN PARDAZAN,Fuzzy Match,Match
LOCHINVAR FARM,Alejandro Alejandro Alejandro LOCHINVAR FARM,Fuzzy Match,Match
BRANCH 1 OF THE SHIRAZ REVOLUTIONARY COURT,William William William BRANCH 1 OF THE SHIRAZ REVOLUTIONARY COURT,Fuzzy Match,Match
INTERNATIONAL ANTICRISIS CENTER,Anna Anna Anna INTERNATIONAL ANTICRISIS CENTER,Fuzzy Match,Match
MYANMAR ECONOMIC CORPORATION LIMITED,Diana Diana Diana MYANMAR ECONOMIC CORPORATION LIMITED,Fuzzy Match,Match
FEODOSIYA ENTERPRISE,Dora Dora Dora FEODOSIYA ENTERPRISE,Fuzzy Match,Match
KOREA TAESONG TRADING COMPANY,Jim Jim Jim KOREA TAESONG TRADING COMPANY,Fuzzy Match,Match
THE YANGON GALLERY,Agnes Agnes Agnes THE YANGON GALLERY,Fuzzy Match,Match
AQSSA SOCIETY YEMEN,Wong AQSSA SOCIETY YEMEN,Fuzzy Match,Match
TRANSMORFLOT LLC,Gauthier TRANSMORFLOT LLC,Fuzzy Match,Match
AL-BUSTAN CHARITY,Choi AL-BUSTAN CHARITY,Fuzzy Match,Match
PSB LIZING OOO,Real PSB LIZING OOO,Fuzzy Match,Match
ELEVENTH OCEAN ADMINISTRATION GMBH,Tippets ELEVENTH OCEAN ADMINISTRATION GMBH,Fuzzy Match,Match
FIRST OCEAN GMBH & CO KG,Gaynor FIRST OCEAN GMBH & CO KG,Fuzzy Match,Match
TISA KISH,Turner TISA KISH,Fuzzy Match,Match
UNITED GENERAL OFFSHORE SAL,Harp UNITED GENERAL OFFSHORE SAL,Fuzzy Match,Match
LA ALIANZA GANADERA LTDA.,Cyrus LA ALIANZA GANADERA LTDA.,Fuzzy Match,Match
